name,algorithm,k,silhouette_score,chi
kotek-18.png,kmeans,5,0.4151443557908654,16617.521907584516
kotek-18.png,kmeans,6,0.3917983047103941,16644.68230991215
kotek-18.png,kmeans,7,0.3746710615334797,16359.001586708468
kotek-18.png,kmeans,8,0.3541933753622725,15856.83423685673
kotek-18.png,kmeans,9,0.34418794633011957,15227.058103035286
kotek-18.png,kmeans,10,0.34236124333222173,14987.495525470516
kotek-18.png,kmeans,11,0.3405273052411632,14827.713423497811
kotek-18.png,kmeans,12,0.33383168543053504,14671.167030120472
kotek-18.png,kmeans,13,0.3329677098239004,14496.183204427309
kotek-18.png,kmeans,14,0.3290174500113524,14339.813109371014
kotek-18.png,kmeans,15,0.32241439569153385,14183.25232059461
kotek-18.png,kmeans,16,0.31653559880433535,13927.906199122197
kotek-18.png,kmeans,17,0.31158636542410634,13837.312447601373
kotek-18.png,kmeans,18,0.3110098615211202,13666.328339934047
kotek-18.png,kmeans,19,0.3050582165348369,13504.417590367699
kotek-18.png,kmeans,20,0.3069405409250593,13406.904244631645
kotek-18.png,kmedoids,5,0.38925133185214195,15494.481159625017
kotek-18.png,kmedoids,6,0.37087946350214274,15564.642655152633
kotek-18.png,kmedoids,7,0.3558437939180208,15215.419067937555
kotek-18.png,kmedoids,8,0.3453427939993266,15315.077604117945
kotek-18.png,kmedoids,9,0.3246854249933808,14351.600123926497
kotek-18.png,kmedoids,10,0.317076162306411,13826.060833407517
kotek-18.png,kmedoids,11,0.31592482360932916,13542.307401195718
kotek-18.png,kmedoids,12,0.31677150952995786,13277.967135757825
kotek-18.png,kmedoids,13,0.3157733646057571,13461.829194860538
kotek-18.png,kmedoids,14,0.3042576744767093,13115.656481223865
kotek-18.png,kmedoids,15,0.2973073574399092,12672.309123350777
kotek-18.png,kmedoids,16,0.2974263163288015,12576.985831040109
kotek-18.png,kmedoids,17,0.28994658856129873,12232.411182188225
kotek-18.png,kmedoids,18,0.28733771428254296,11946.770156564937
kotek-18.png,kmedoids,19,0.2841598483895587,11842.236307437597
kotek-18.png,kmedoids,20,0.28423847041733474,11846.87972176004
kotek-19.png,kmeans,5,0.43627157780173575,26464.30126629497
kotek-19.png,kmeans,6,0.4006992241209167,26178.550614587773
kotek-19.png,kmeans,7,0.37416921595463537,25382.440082468616
kotek-19.png,kmeans,8,0.34895541166445293,24484.22080840187
kotek-19.png,kmeans,9,0.3299449164676244,23502.82650934636
kotek-19.png,kmeans,10,0.3144873684393535,22397.23960933534
kotek-19.png,kmeans,11,0.3132250754397064,21764.49467432925
kotek-19.png,kmeans,12,0.31169059516418673,21171.80700419084
kotek-19.png,kmeans,13,0.3100500659937091,20577.717215661974
kotek-19.png,kmeans,14,0.30910722987316247,20268.535962625232
kotek-19.png,kmeans,15,0.3055434810154248,19915.213724901434
kotek-19.png,kmeans,16,0.30474059773220913,19578.884302896982
kotek-19.png,kmeans,17,0.3047297003347247,19321.13801578498
kotek-19.png,kmeans,18,0.3019476079024452,19036.320330311486
kotek-19.png,kmeans,19,0.2966401460650314,18729.59689934382
kotek-19.png,kmeans,20,0.29387631981958834,18485.25466251337
kotek-19.png,kmedoids,5,0.4215254930302696,25704.47145941548
kotek-19.png,kmedoids,6,0.38562789477389636,25355.475840356514
kotek-19.png,kmedoids,7,0.35530764130660963,24468.817030706537
kotek-19.png,kmedoids,8,0.3300168466328657,23238.28376384123
kotek-19.png,kmedoids,9,0.3118897604862965,22652.38627993961
kotek-19.png,kmedoids,10,0.30506931259741077,21611.958901327765
kotek-19.png,kmedoids,11,0.30305785453184403,20705.20872684206
kotek-19.png,kmedoids,12,0.30463194117084125,20553.814349679265
kotek-19.png,kmedoids,13,0.2999264858371699,20111.258033070008
kotek-19.png,kmedoids,14,0.28994476648445056,19676.98526509935
kotek-19.png,kmedoids,15,0.291886053689714,19409.113635948943
